0:0:0:0:0:0:0:1 - - [06/May/2023:02:33:19 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:33:19 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:33:20 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:33:20 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:33:20 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:29 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:29 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 200 3946
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/images/logo.png HTTP/1.1" 200 121125
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/sing.html HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/images/music/music1.jpg HTTP/1.1" 200 101697
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/images/music/music2.jpg HTTP/1.1" 200 71013
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/images/music/music3.png HTTP/1.1" 200 968264
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 7190706
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 4095510
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 4399366
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:42 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 200 3946
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/images/logo.png HTTP/1.1" 200 121125
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/sing.html HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/images/music/music1.jpg HTTP/1.1" 200 101697
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/images/music/music2.jpg HTTP/1.1" 200 71013
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/images/music/music3.png HTTP/1.1" 200 968264
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 7190706
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 4095510
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 4399366
0:0:0:0:0:0:0:1 - - [06/May/2023:02:34:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
